,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals
MEM,MEM,1698,425,2359,6283,0.459,2885,1555,0.733,1140,67,16155,Memphis Grizzlies,939,1687,418,2203,5919,0.453,2683,1457,0.773,1126,671,1306,7321,482,2346,0.353,829,2874,1004,3573,0.519,1854,1308,7651,1,663,2177,0.34,741,3298,886,4106,0.522,2144
MIL,MIL,1559,268,2408,5878,0.464,2725,1501,0.775,1163,66,15890,Milwaukee Bucks,687,1670,286,2258,5964,0.451,2688,1324,0.74,980,672,1297,7289,480,2671,0.349,933,2930,877,3293,0.533,1755,1209,7555,2,500,2575,0.366,942,3095,897,3303,0.54,1783
MIN,MIN,1681,388,2178,6031,0.452,2726,1485,0.767,1139,66,15940,Minnesota Timberwolves,772,1694,330,2306,5729,0.454,2599,1697,0.782,1327,735,1376,7377,492,2452,0.347,852,3041,1095,3277,0.533,1747,1445,7551,3,580,2739,0.35,960,2950,962,3292,0.536,1766
CHO,CHO,1798,319,2255,6083,0.459,2791,1440,0.735,1058,66,16040,Charlotte Hornets,727,1727,316,2410,5970,0.463,2765,1490,0.76,1133,744,1308,7580,497,2568,0.357,917,3154,1005,3402,0.543,1848,1326,7549,4,575,2537,0.358,909,2982,881,3546,0.531,1882
PHO,PHO,1764,284,2323,5807,0.481,2795,1323,0.794,1051,65,15625,Phoenix Suns,630,1450,263,2218,5771,0.441,2546,1403,0.756,1061,686,1251,6894,489,2225,0.333,741,2904,950,3546,0.509,1805,1255,7391,5,558,2056,0.365,750,2953,837,3751,0.545,2045
IND,IND,1660,379,2256,5976,0.46,2748,1441,0.759,1093,67,16280,Indiana Pacers,745,1598,330,2222,5897,0.473,2788,1526,0.795,1213,678,1306,7557,533,2129,0.361,768,2900,863,3768,0.536,2020,1361,7389,6,459,2356,0.34,800,3001,970,3620,0.538,1948
SAC,SAC,1572,302,2247,5942,0.458,2723,1533,0.764,1171,67,16155,Sacramento Kings,671,1678,335,2348,6076,0.479,2908,1388,0.772,1072,702,1322,7727,533,2303,0.364,839,3050,886,3773,0.548,2069,1290,7381,7,476,2238,0.341,764,2918,948,3704,0.529,1959
GSW,GSW,1804,311,2359,5719,0.469,2681,1342,0.761,1021,66,15890,Golden State Warriors,642,1501,269,2175,5708,0.438,2498,1485,0.754,1119,638,1186,6923,529,2390,0.338,808,2813,993,3318,0.509,1690,1360,7338,8,615,2630,0.363,955,3001,998,3089,0.559,1726
SAS,SAS,1835,327,2227,6067,0.469,2847,1244,0.738,918,65,15725,San Antonio Spurs,720,1567,331,2306,5945,0.468,2782,1335,0.761,1016,734,1198,7340,475,2135,0.356,760,3040,903,3810,0.531,2022,1184,7333,9,500,2042,0.353,721,2947,826,4025,0.528,2126
BRK,BRK,1638,345,2246,5841,0.467,2730,1406,0.802,1128,66,15890,Brooklyn Nets,672,1587,333,2214,5946,0.455,2704,1474,0.796,1173,725,1286,7390,522,2382,0.34,809,2939,869,3564,0.532,1895,1324,7332,10,456,2099,0.354,744,2918,915,3742,0.531,1986
CHI,CHI,1577,287,2233,5669,0.484,2741,1364,0.812,1108,65,15625,Chicago Bulls,567,1622,329,2193,5723,0.467,2674,1404,0.792,1112,621,1149,7217,468,2082,0.364,757,2814,850,3641,0.527,1917,1225,7308,11,456,1912,0.376,718,2800,843,3757,0.538,2023
UTA,UTA,1436,310,2280,5510,0.472,2601,1454,0.778,1131,64,15385,Utah Jazz,672,1479,275,2035,5756,0.453,2608,1203,0.75,902,646,1290,6887,500,2235,0.344,769,2681,771,3521,0.522,1839,1207,7270,12,459,2579,0.363,937,2952,917,2931,0.568,1664
MIA,MIA,1696,221,2241,5635,0.464,2617,1392,0.807,1124,66,16015,Miami Heat,689,1524,281,2110,5534,0.443,2452,1477,0.769,1136,633,1366,6905,486,2535,0.341,865,2743,1007,2999,0.529,1587,1363,7240,13,496,2339,0.377,882,2930,970,3296,0.526,1735
